snippet_id,phase,angle_bias,expect_level,mode,true_shape,resp_shape,conf_level,accuracy,control_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
3,practice,,,,,,,,,,1243,001,blue,green,
,,0,,,,,,,,,1243,001,blue,green,
,,,low,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,square,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,1,,,1243,001,blue,green,
,,,,,,,,,76.0,,1243,001,blue,green,
,,,,,,,,,,0.5,1243,001,blue,green,
2,practice,,,,,,,,,,1243,001,blue,green,
,,0,,,,,,,,,1243,001,blue,green,
,,,low,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,dot,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,0,,,1243,001,blue,green,
,,,,,,,,,53.0,,1243,001,blue,green,
,,,,,,,,,,0.45,1243,001,blue,green,
3,practice,,,,,,,,,,1243,001,blue,green,
,,0,,,,,,,,,1243,001,blue,green,
,,,low,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,square,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,1,,,1243,001,blue,green,
,,,,,,,,,89.0,,1243,001,blue,green,
,,,,,,,,,,0.525,1243,001,blue,green,
7,practice,,,,,,,,,,1243,001,blue,green,
,,90,,,,,,,,,1243,001,blue,green,
,,,low,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,square,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,1,,,1243,001,blue,green,
,,,,,,,,,10.0,,1243,001,blue,green,
,,,,,,,,,,0.5,1243,001,blue,green,
3,practice,,,,,,,,,,1243,001,blue,green,
,,90,,,,,,,,,1243,001,blue,green,
,,,high,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,dot,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,0,,,1243,001,blue,green,
,,,,,,,,,94.0,,1243,001,blue,green,
,,,,,,,,,,0.8,1243,001,blue,green,
5,practice,,,,,,,,,,1243,001,blue,green,
,,90,,,,,,,,,1243,001,blue,green,
,,,low,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,dot,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,0,,,1243,001,blue,green,
,,,,,,,,,43.0,,1243,001,blue,green,
,,,,,,,,,,0.45,1243,001,blue,green,
0,practice,,,,,,,,,,1243,001,blue,green,
,,90,,,,,,,,,1243,001,blue,green,
,,,high,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,square,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,1,,,1243,001,blue,green,
,,,,,,,,,9.0,,1243,001,blue,green,
,,,,,,,,,,1.0,1243,001,blue,green,
2,practice,,,,,,,,,,1243,001,blue,green,
,,90,,,,,,,,,1243,001,blue,green,
,,,low,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,square,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,1,,,1243,001,blue,green,
,,,,,,,,,85.0,,1243,001,blue,green,
,,,,,,,,,,0.525,1243,001,blue,green,
0,practice,,,,,,,,,,1243,001,blue,green,
,,0,,,,,,,,,1243,001,blue,green,
,,,high,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,square,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,1,,,1243,001,blue,green,
,,,,,,,,,89.0,,1243,001,blue,green,
,,,,,,,,,,0.8,1243,001,blue,green,
4,practice,,,,,,,,,,1243,001,blue,green,
,,90,,,,,,,,,1243,001,blue,green,
,,,high,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,dot,,,,,,1243,001,blue,green,
,,,,,,dot,,,,,1243,001,blue,green,
,,,,,,,3,,,,1243,001,blue,green,
,,,,,,,,1,,,1243,001,blue,green,
,,,,,,,,,79.0,,1243,001,blue,green,
,,,,,,,,,,0.95,1243,001,blue,green,
7,practice,,,,,,,,,,1243,001,blue,green,
,,0,,,,,,,,,1243,001,blue,green,
,,,high,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,dot,,,,,,1243,001,blue,green,
,,,,,,dot,,,,,1243,001,blue,green,
,,,,,,,4,,,,1243,001,blue,green,
,,,,,,,,1,,,1243,001,blue,green,
,,,,,,,,,74.0,,1243,001,blue,green,
,,,,,,,,,,0.75,1243,001,blue,green,
0,practice,,,,,,,,,,1243,001,blue,green,
,,0,,,,,,,,,1243,001,blue,green,
,,,high,,,,,,,,1243,001,blue,green,
,,,,true,,,,,,,1243,001,blue,green,
,,,,,square,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,1,,,1243,001,blue,green,
,,,,,,,,,89.0,,1243,001,blue,green,
,,,,,,,,,,0.7,1243,001,blue,green,
6,test,,,,,,,,,,1243,001,blue,green,
,,0,,,,,,,,,1243,001,blue,green,
,,,low,,,,,,,,1243,001,blue,green,
,,,,medium,,,,,,,1243,001,blue,green,
,,,,,dot,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,0,,,1243,001,blue,green,
,,,,,,,,,30.0,,1243,001,blue,green,
,,,,,,,,,,0.5625,1243,001,blue,green,
3,test,,,,,,,,,,1243,001,blue,green,
,,0,,,,,,,,,1243,001,blue,green,
,,,low,,,,,,,,1243,001,blue,green,
,,,,medium,,,,,,,1243,001,blue,green,
,,,,,dot,,,,,,1243,001,blue,green,
,,,,,,square,,,,,1243,001,blue,green,
,,,,,,,1,,,,1243,001,blue,green,
,,,,,,,,0,,,1243,001,blue,green,
,,,,,,,,,34.0,,1243,001,blue,green,
,,,,,,,,,,0.5625,1243,001,blue,green,
6,test,,,,,,,,,,1243,001,blue,green,
,,90,,,,,,,,,1243,001,blue,green,
,,,low,,,,,,,,1243,001,blue,green,
,,,,medium,,,,,,,1243,001,blue,green,
,,,,,square,,,,,,1243,001,blue,green,
,,,,,,dot,,,,,1243,001,blue,green,
,,,,,,,3,,,,1243,001,blue,green,
,,,,,,,,0,,,1243,001,blue,green,
,,,,,,,,,86.0,,1243,001,blue,green,
,,,,,,,,,,0.6875,1243,001,blue,green,
0,,,,,,,,,,,,,,,
