snippet_id,catch_type,phase,angle_bias,expect_level,true_shape,resp_shape,conf_level,accuracy,rt_choice,agency_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
8,,practice,0,low,dot,square,2,0,1.8484241670230404,nan,0.5,21,001,green,blue,
5,,practice,90,low,dot,square,1,0,0.8809643329586834,nan,0.5,21,001,green,blue,
3,,practice,0,high,dot,square,1,0,8.227271165989805,nan,0.8,21,001,green,blue,
5,,practice,0,low,square,square,1,1,0.6471921670017764,nan,0.575,21,001,green,blue,
1,,practice,90,high,dot,square,2,0,3.282530458003748,nan,0.8,21,001,green,blue,
2,,practice,0,high,square,square,2,1,2.679362167022191,nan,1,21,001,green,blue,
8,,practice,0,low,square,dot,3,0,2.187901041994337,nan,0.5249999999999999,21,001,green,blue,
2,,practice,90,high,dot,dot,3,1,2.345853208040353,nan,1,21,001,green,blue,
0,,practice,0,high,square,dot,3,0,2.4640266669448465,nan,0.95,21,001,green,blue,
4,,practice,90,low,dot,square,2,0,5.799107457976788,nan,0.575,21,001,green,blue,
4,,practice,90,high,square,square,1,1,0.7343234170111828,nan,0.95,21,001,green,blue,
1,,practice,90,low,dot,dot,3,1,1.672004000050947,nan,0.6499999999999999,21,001,green,blue,
1,,test,0,high,dot,square,2,0,4.372075916966423,80.0,0.7999999999999999,21,001,green,blue,
6,,test,0,low,dot,square,1,0,4.44759958400391,92.0,0.7999999999999999,21,001,green,blue,
0,,test,90,low,dot,dot,3,1,2.4056904159951955,93.0,0.7499999999999999,21,001,green,blue,
