snippet_id,catch_type,phase,angle_bias,expect_level,true_shape,resp_shape,conf_level,accuracy,rt_choice,agency_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
25,,practice,90,high,dot,square,1,0,4.410072374972515,nan,0.8,23213,001,green,blue,
16,,practice,0,high,square,square,1,1,0.718924708024133,nan,0.8,23213,001,green,blue,
6,,practice,90,low,square,square,1,1,0.5589868340175599,nan,0.5,23213,001,green,blue,
10,,practice,0,low,dot,dot,3,1,2.080339624953922,nan,0.5,23213,001,green,blue,
14,,practice,90,high,dot,square,2,0,0.6775060420040973,nan,1,23213,001,green,blue,
9,,practice,0,high,dot,square,2,0,0.46070783300092444,nan,0.75,23213,001,green,blue,
8,,practice,0,low,square,square,2,1,0.5743662919849157,nan,0.45,23213,001,green,blue,
1,,practice,90,low,dot,square,1,0,2.6465517499600537,nan,0.45,23213,001,green,blue,
30,,practice,90,low,square,square,1,1,0.5337478330475278,nan,0.525,23213,001,green,blue,
12,,practice,90,high,square,square,1,1,0.5721791670075618,nan,1,23213,001,green,blue,
19,,practice,0,low,dot,square,1,0,0.5451287499745376,nan,0.4,23213,001,green,blue,
24,,practice,0,high,square,square,1,1,2.3832163749611937,nan,0.9500000000000001,23213,001,green,blue,
29,,test,0,high,dot,square,1,0,0.5022282499703579,77.0,0.6875,23213,001,green,blue,
20,,test,90,high,square,square,1,1,0.5763558750040829,89.0,0.7125,23213,001,green,blue,
23,,test,0,high,square,square,1,1,1.6758339580264874,86.0,0.6875,23213,001,green,blue,
