snippet_id,catch_type,phase,angle_bias,expect_level,true_shape,resp_shape,conf_level,accuracy,rt_choice,agency_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
8,,practice,90,low,square,square,1,1,1.799729791993741,nan,0.5,564,001,blue,green,
30,,practice,0,high,dot,square,1,0,1.1016088750038762,nan,0.8,564,001,blue,green,
34,,practice,90,high,square,dot,3,0,2.9738407080003526,nan,0.8,564,001,blue,green,
6,,practice,90,high,square,dot,3,0,2.9204531669965945,nan,1,564,001,blue,green,
7,,practice,90,high,square,square,2,1,3.7663439579773694,nan,1,564,001,blue,green,
5,,practice,0,low,dot,square,1,0,0.8356295000121463,nan,0.5,564,001,blue,green,
33,,practice,90,low,square,square,1,1,4.561079375009285,nan,0.45,564,001,blue,green,
16,,practice,0,low,dot,square,2,0,0.915321957989363,nan,0.575,564,001,blue,green,
3,,practice,0,low,dot,dot,3,1,1.8877263329923153,nan,0.6499999999999999,564,001,blue,green,
31,,practice,0,high,square,square,1,1,2.10093450002023,nan,1,564,001,blue,green,
25,,practice,90,low,dot,dot,3,1,4.333275207987754,nan,0.4,564,001,blue,green,
35,,practice,0,high,square,dot,3,0,1.7817669999785721,nan,0.95,564,001,blue,green,
12,,test,90,high,dot,square,2,0,0.6233554579957854,76.0,0.65,564,001,blue,green,
13,,test,90,high,square,square,1,1,1.8667485420010053,75.0,0.65,564,001,blue,green,
11,,test,0,low,dot,dot,3,1,1.5905027079861611,86.0,0.7999999999999999,564,001,blue,green,
4,,test,0,high,square,square,2,1,0.6416092090075836,82.0,0.7999999999999999,564,001,blue,green,
20,,test,0,low,square,square,1,1,1.4521619160077535,87.0,0.7999999999999999,564,001,blue,green,
17,,test,90,low,dot,dot,4,1,1.15120174997719,91.0,0.65,564,001,blue,green,
1,,test,0,high,dot,dot,4,1,1.8532120000163559,87.0,0.7999999999999999,564,001,blue,green,
14,,test,90,low,dot,square,1,0,1.5272885829908773,87.0,0.65,564,001,blue,green,
