snippet_id,catch_type,phase,angle_bias,expect_level,true_shape,resp_shape,conf_level,accuracy,rt_choice,agency_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
0,,practice,90,high,square,dot,3,0,0.0017790839774534106,nan,0.8,SIM,001,green,blue,
0,,practice,0,high,dot,square,1,0,0.00011520797852426767,nan,0.8,SIM,001,green,blue,
0,,practice,90,high,square,square,2,1,9.204202797263861e-05,nan,1,SIM,001,green,blue,
0,,practice,90,low,dot,dot,3,1,0.00011237501166760921,nan,0.5,SIM,001,green,blue,
0,,practice,90,high,square,dot,3,0,0.0001068339915946126,nan,0.95,SIM,001,green,blue,
0,,practice,0,high,square,square,1,1,0.00011779199121519923,nan,1,SIM,001,green,blue,
0,,practice,0,high,square,square,1,1,0.0002494580112397671,nan,0.95,SIM,001,green,blue,
0,,practice,0,low,square,square,1,1,0.00015350000467151403,nan,0.5,SIM,001,green,blue,
0,,practice,0,low,dot,dot,4,1,0.00019104103557765484,nan,0.45,SIM,001,green,blue,
0,,practice,90,low,dot,square,1,0,0.00025758397532626987,nan,0.45,SIM,001,green,blue,
0,,practice,90,low,dot,square,2,0,0.0002085839514620602,nan,0.525,SIM,001,green,blue,
0,,practice,0,low,dot,square,1,0,0.0001490419963374734,nan,0.4,SIM,001,green,blue,
0,,test,90,high,dot,square,1,0,0.00011829199502244592,99.0,0.8,SIM,001,green,blue,
0,,test,0,low,dot,square,1,0,0.00022612500470131636,80.0,0.6875,SIM,001,green,blue,
0,,test,90,low,square,square,1,1,0.00021675002062693238,21.0,0.8,SIM,001,green,blue,
0,,test,0,high,dot,square,1,0,0.00013858301099389791,30.0,0.6875,SIM,001,green,blue,
0,,test,0,high,dot,dot,4,1,0.00014679098967462778,30.0,0.6875,SIM,001,green,blue,
0,,test,90,high,dot,square,2,0,0.00020354200387373567,15.0,0.8,SIM,001,green,blue,
0,,test,90,low,dot,square,2,0,0.00020604196470230818,69.0,0.8,SIM,001,green,blue,
0,,test,0,low,dot,square,2,0,0.00020004098769277334,64.0,0.6875,SIM,001,green,blue,
