snippet_id,phase,angle_bias,expect_level,mode,true_shape,resp_shape,conf_level,accuracy,control_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
6,practice,,,,,,,,,,33332222,001,green,blue,
,,90,,,,,,,,,33332222,001,green,blue,
,,,high,,,,,,,,33332222,001,green,blue,
,,,,true,,,,,,,33332222,001,green,blue,
,,,,,dot,,,,,,33332222,001,green,blue,
,,,,,,dot,,,,,33332222,001,green,blue,
,,,,,,,3,,,,33332222,001,green,blue,
,,,,,,,,1,,,33332222,001,green,blue,
,,,,,,,,,91.0,,33332222,001,green,blue,
,,,,,,,,,,0.8,33332222,001,green,blue,
3,,,,,,,,,,,,,,,
