isPractice,frame,x,y,Participant,StudyID,SessionID
1,0,26.08203125,-92.48828125,anonymous,na,na
1,1,25.91796875,-92.32421875,anonymous,na,na
1,2,25.82421875,-92.14453125,anonymous,na,na
1,3,25.82421875,-92.14453125,anonymous,na,na
1,4,25.82421875,-92.14453125,anonymous,na,na
1,5,25.82421875,-92.14453125,anonymous,na,na
1,6,25.82421875,-92.14453125,anonymous,na,na
1,7,25.82421875,-92.14453125,anonymous,na,na
1,8,25.82421875,-92.14453125,anonymous,na,na
1,9,25.82421875,-92.14453125,anonymous,na,na
1,10,25.82421875,-92.14453125,anonymous,na,na
1,11,25.82421875,-92.14453125,anonymous,na,na
1,12,25.82421875,-92.14453125,anonymous,na,na
1,13,25.82421875,-92.14453125,anonymous,na,na
1,14,25.82421875,-92.14453125,anonymous,na,na
1,15,25.82421875,-91.0390625,anonymous,na,na
1,16,26.359375,-88.5390625,anonymous,na,na
1,17,27.91015625,-77.171875,anonymous,na,na
1,18,28.08203125,-50.69921875,anonymous,na,na
1,19,25.05078125,-18.44140625,anonymous,na,na
1,20,9.21484375,30.43359375,anonymous,na,na
1,21,-12.80859375,57.6171875,anonymous,na,na
1,22,-48.83984375,77.5625,anonymous,na,na
1,23,-109.0546875,98.80859375,anonymous,na,na
1,24,-139.65625,105.46875,anonymous,na,na
1,25,-165,107.5117188,anonymous,na,na
1,26,-191.2539063,108.421875,anonymous,na,na
1,27,-203.2734375,108.1796875,anonymous,na,na
1,28,-215.8125,106.5585938,anonymous,na,na
1,29,-220.9726563,105.1757813,anonymous,na,na
1,30,-231.2304688,101.21875,anonymous,na,na
1,31,-241.7578125,96.05078125,anonymous,na,na
1,32,-254.2695313,87.59765625,anonymous,na,na
1,33,-268.2578125,73.89453125,anonymous,na,na
1,34,-276.625,60.73828125,anonymous,na,na
1,35,-280.7773438,46.5234375,anonymous,na,na
1,36,-280.65625,34.703125,anonymous,na,na
1,37,-278.7734375,27.8359375,anonymous,na,na
1,38,-271.1210938,17.453125,anonymous,na,na
1,39,-245.0898438,-2.2421875,anonymous,na,na
1,40,-203.0117188,-25.02734375,anonymous,na,na
1,41,-141.6445313,-52.5,anonymous,na,na
1,42,-90.24609375,-69.9140625,anonymous,na,na
1,43,-45.43359375,-78.296875,anonymous,na,na
1,44,-11.53515625,-81.57421875,anonymous,na,na
1,45,8.64453125,-80.40625,anonymous,na,na
1,46,34.0625,-71.671875,anonymous,na,na
1,47,61.80078125,-53.6875,anonymous,na,na
1,48,88.31640625,-23.3125,anonymous,na,na
1,49,114.46875,16.0625,anonymous,na,na
1,50,132.578125,60.78515625,anonymous,na,na
1,51,141.09375,102.171875,anonymous,na,na
1,52,139.171875,120.6015625,anonymous,na,na
1,53,123.9296875,138.6367188,anonymous,na,na
1,54,76.5,160.859375,anonymous,na,na
1,55,35.0078125,170.296875,anonymous,na,na
1,56,-45.06640625,181.4023438,anonymous,na,na
1,57,-97.06640625,186.2421875,anonymous,na,na
1,58,-138.1875,185.515625,anonymous,na,na
