isPractice,frame,x,y,Participant,practiceTrial,propBefore,practiceCorr,stair_converged,stair_finalProp,personalMinMove
1,0,-82.54296875,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,1,-82.54296875,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,2,-82.54296875,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,3,-82.54296875,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,4,-82.54296875,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,5,-82.54296875,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,6,-82.54296875,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,7,-82.55078125,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,8,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,9,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,10,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,11,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,12,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,13,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,14,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,15,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,16,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,17,-82.69140625,-30.34765625,68348cbcb4102122787fdbd0,,,,,,
1,18,-81.99609375,-29.45703125,68348cbcb4102122787fdbd0,,,,,,
1,19,-79.78515625,-26.51171875,68348cbcb4102122787fdbd0,,,,,,
1,20,-79.01953125,-25.31640625,68348cbcb4102122787fdbd0,,,,,,
1,21,-78.984375,-25.16796875,68348cbcb4102122787fdbd0,,,,,,
1,22,-78.81640625,-24.78125,68348cbcb4102122787fdbd0,,,,,,
1,23,-78.76171875,-23.609375,68348cbcb4102122787fdbd0,,,,,,
1,24,-79.1640625,-19.56640625,68348cbcb4102122787fdbd0,,,,,,
1,25,-80.76953125,-9.55859375,68348cbcb4102122787fdbd0,,,,,,
1,26,-83.58203125,-0.2578125,68348cbcb4102122787fdbd0,,,,,,
1,27,-86.37890625,6.46875,68348cbcb4102122787fdbd0,,,,,,
1,28,-91.578125,16.17578125,68348cbcb4102122787fdbd0,,,,,,
1,29,-99.421875,24.40234375,68348cbcb4102122787fdbd0,,,,,,
1,30,-115.3632813,35.07421875,68348cbcb4102122787fdbd0,,,,,,
1,31,-142.5703125,52.58984375,68348cbcb4102122787fdbd0,,,,,,
1,32,-172.5585938,72.6953125,68348cbcb4102122787fdbd0,,,,,,
1,33,-209.1210938,100.7695313,68348cbcb4102122787fdbd0,,,,,,
1,34,-231.0351563,122.9335938,68348cbcb4102122787fdbd0,,,,,,
1,35,-237.2695313,128.1289063,68348cbcb4102122787fdbd0,,,,,,
1,36,-246.4765625,132.515625,68348cbcb4102122787fdbd0,,,,,,
1,37,-253.9609375,133.84375,68348cbcb4102122787fdbd0,,,,,,
1,38,-260.8867188,134.0664063,68348cbcb4102122787fdbd0,,,,,,
1,39,-266.4921875,132.75,68348cbcb4102122787fdbd0,,,,,,
1,40,-273.2382813,127.65625,68348cbcb4102122787fdbd0,,,,,,
1,41,-283.8320313,115.6132813,68348cbcb4102122787fdbd0,,,,,,
1,42,-310.6679688,83.25,68348cbcb4102122787fdbd0,,,,,,
1,43,-347.8984375,34.8203125,68348cbcb4102122787fdbd0,,,,,,
1,44,-366.7304688,4.46484375,68348cbcb4102122787fdbd0,,,,,,
1,45,-382.4882813,-41.58203125,68348cbcb4102122787fdbd0,,,,,,
1,46,-381.4921875,-79.54296875,68348cbcb4102122787fdbd0,,,,,,
1,47,-352.6875,-119.1953125,68348cbcb4102122787fdbd0,,,,,,
1,48,-258.921875,-181.265625,68348cbcb4102122787fdbd0,,,,,,
1,49,-91.01171875,-243.1523438,68348cbcb4102122787fdbd0,,,,,,
1,50,23.84765625,-269.2109375,68348cbcb4102122787fdbd0,,,,,,
1,51,169.6171875,-285.9882813,68348cbcb4102122787fdbd0,,,,,,
1,52,306.5117188,-287.1953125,68348cbcb4102122787fdbd0,,,,,,
1,53,391.6875,-275.3984375,68348cbcb4102122787fdbd0,,,,,,
1,54,516.0234375,-234.5351563,68348cbcb4102122787fdbd0,,,,,,
1,55,609.3125,-188.6445313,68348cbcb4102122787fdbd0,,,,,,
1,56,655.2070313,-155.1914063,68348cbcb4102122787fdbd0,,,,,,
1,57,683.2851563,-128.5625,68348cbcb4102122787fdbd0,,,,,,
1,58,688.3671875,-120.7734375,68348cbcb4102122787fdbd0,,,,,,
1,59,687.484375,-110.7773438,68348cbcb4102122787fdbd0,,,,,,
1,60,679.1484375,-95.51953125,68348cbcb4102122787fdbd0,,,,,,
1,61,660.6054688,-80.44921875,68348cbcb4102122787fdbd0,,,,,,
1,62,605.0742188,-56.88671875,68348cbcb4102122787fdbd0,,,,,,
1,63,512.890625,-30.66796875,68348cbcb4102122787fdbd0,,,,,,
1,64,375.8125,-3.4609375,68348cbcb4102122787fdbd0,,,,,,
1,65,177.671875,29.82421875,68348cbcb4102122787fdbd0,,,,,,
1,66,-56.54296875,57,68348cbcb4102122787fdbd0,,,,,,
1,67,-240.59375,69.421875,68348cbcb4102122787fdbd0,,,,,,
1,68,-362.0507813,70.59765625,68348cbcb4102122787fdbd0,,,,,,
1,69,-450.1601563,67.28125,68348cbcb4102122787fdbd0,,,,,,
1,70,-498.6796875,62.6171875,68348cbcb4102122787fdbd0,,,,,,
1,71,-523.8945313,57.77734375,68348cbcb4102122787fdbd0,,,,,,
1,72,-538.6679688,53.140625,68348cbcb4102122787fdbd0,,,,,,
1,73,-547.015625,48.48046875,68348cbcb4102122787fdbd0,,,,,,
1,74,-552.8203125,44.66796875,68348cbcb4102122787fdbd0,,,,,,
1,75,-553.5078125,44.2421875,68348cbcb4102122787fdbd0,,,,,,
1,76,-553.9296875,43.984375,68348cbcb4102122787fdbd0,,,,,,
1,77,-553.9296875,43.984375,68348cbcb4102122787fdbd0,,,,,,
1,78,-552.7265625,43.984375,68348cbcb4102122787fdbd0,,,,,,
1,79,-545.3320313,43.703125,68348cbcb4102122787fdbd0,,,,,,
1,80,-520.3789063,42.7265625,68348cbcb4102122787fdbd0,,,,,,
1,81,-464.796875,40.26171875,68348cbcb4102122787fdbd0,,,,,,
1,82,-305.828125,31.08203125,68348cbcb4102122787fdbd0,,,,,,
1,83,-102.2460938,21.41015625,68348cbcb4102122787fdbd0,,,,,,
1,84,104.2773438,15.48046875,68348cbcb4102122787fdbd0,,,,,,
1,85,302.9921875,14.921875,68348cbcb4102122787fdbd0,,,,,,
1,86,481.078125,19.62109375,68348cbcb4102122787fdbd0,,,,,,
1,87,572.1210938,26.29296875,68348cbcb4102122787fdbd0,,,,,,
1,88,632.3945313,32.6640625,68348cbcb4102122787fdbd0,,,,,,
1,89,634.703125,32.921875,68348cbcb4102122787fdbd0,,,,,,
1,90,634.703125,32.921875,68348cbcb4102122787fdbd0,,,,,,
1,91,634.5820313,32.921875,68348cbcb4102122787fdbd0,,,,,,
1,92,633.625,32.9765625,68348cbcb4102122787fdbd0,,,,,,
1,93,630.921875,33.18359375,68348cbcb4102122787fdbd0,,,,,,
1,94,620.9765625,33.2578125,68348cbcb4102122787fdbd0,,,,,,
1,95,591.0703125,32.8515625,68348cbcb4102122787fdbd0,,,,,,
1,96,538.7890625,31.20703125,68348cbcb4102122787fdbd0,,,,,,
1,97,382.5429688,24.7734375,68348cbcb4102122787fdbd0,,,,,,
1,98,154.546875,14.63671875,68348cbcb4102122787fdbd0,,,,,,
1,99,-35.3671875,6.8828125,68348cbcb4102122787fdbd0,,,,,,
1,100,-272.7734375,-3.8046875,68348cbcb4102122787fdbd0,,,,,,
1,101,-395.4453125,-10.24609375,68348cbcb4102122787fdbd0,,,,,,
1,102,-467.1640625,-13.671875,68348cbcb4102122787fdbd0,,,,,,
1,103,-511.078125,-15.4921875,68348cbcb4102122787fdbd0,,,,,,
1,104,-516.3320313,-15.6953125,68348cbcb4102122787fdbd0,,,,,,
1,105,-516.3320313,-15.6953125,68348cbcb4102122787fdbd0,,,,,,
1,106,-516.3320313,-15.6953125,68348cbcb4102122787fdbd0,,,,,,
1,107,-515.984375,-15.78125,68348cbcb4102122787fdbd0,,,,,,
1,108,-512.9375,-16.3203125,68348cbcb4102122787fdbd0,,,,,,
1,109,-497.3632813,-18.05859375,68348cbcb4102122787fdbd0,,,,,,
1,110,-450.6875,-21.65234375,68348cbcb4102122787fdbd0,,,,,,
1,111,-349.140625,-26.1796875,68348cbcb4102122787fdbd0,,,,,,
1,112,-189.3671875,-35.171875,68348cbcb4102122787fdbd0,,,,,,
1,113,-78.49609375,-41.078125,68348cbcb4102122787fdbd0,,,,,,
1,114,75.27734375,-49.97265625,68348cbcb4102122787fdbd0,,,,,,
1,115,207.1757813,-60.453125,68348cbcb4102122787fdbd0,,,,,,
1,116,284.15625,-70.828125,68348cbcb4102122787fdbd0,,,,,,
1,117,361.5507813,-81.8671875,68348cbcb4102122787fdbd0,,,,,,
1,118,378.0117188,-83.8984375,68348cbcb4102122787fdbd0,,,,,,
1,119,378.0117188,-83.8984375,68348cbcb4102122787fdbd0,,,,,,
1,120,378.0117188,-83.8984375,68348cbcb4102122787fdbd0,,,,,,
1,121,377.9179688,-83.8984375,68348cbcb4102122787fdbd0,,,,,,
