device_type,Participant,isPractice,frame,x,y,practiceTrial,propBefore,practiceCorr,stair_converged,stair_finalProp,personalMinMove,final_score,correct_above_60,bonus_usd,participant_id
mouse,23232,,,,,,,,,,,,,,
mouse,23232,,,,,,,,,,,,,,
mouse,23232,,,,,,,,,,,,,,
,23232,1,0,150.2109375,-106.0234375,,,,,,,,,,
,23232,1,1,149.234375,-104.25,,,,,,,,,,
,23232,1,2,149.015625,-103.15625,,,,,,,,,,
,23232,1,3,148.9765625,-101.9140625,,,,,,,,,,
,23232,1,4,149.2109375,-99.30859375,,,,,,,,,,
,23232,1,5,149.5390625,-95.50390625,,,,,,,,,,
,23232,1,6,149.9335938,-88.89453125,,,,,,,,,,
,23232,1,7,150.1914063,-84.890625,,,,,,,,,,
,23232,1,8,150.3984375,-77.546875,,,,,,,,,,
,23232,1,9,147.7226563,-47.57421875,,,,,,,,,,
,23232,1,10,140.6914063,-17.3046875,,,,,,,,,,
,23232,1,11,132.3203125,6.671875,,,,,,,,,,
,23232,1,12,111.21875,41.7578125,,,,,,,,,,
,23232,1,13,89.5546875,62.24609375,,,,,,,,,,
,23232,1,14,75.75390625,71.02734375,,,,,,,,,,
,23232,1,15,56.07421875,79.5703125,,,,,,,,,,
,23232,1,16,26.0546875,89.734375,,,,,,,,,,
,23232,1,17,-5.9140625,98.37890625,,,,,,,,,,
,23232,1,18,-44.984375,109.2304688,,,,,,,,,,
,23232,1,19,-80.71484375,117.78125,,,,,,,,,,
,23232,1,20,-105.390625,121.2304688,,,,,,,,,,
,23232,1,21,-143.3554688,124.6289063,,,,,,,,,,
,23232,1,22,-171.2929688,125.8398438,,,,,,,,,,
,23232,1,23,-191.2578125,125.0351563,,,,,,,,,,
,23232,1,24,-213.0742188,120.6875,,,,,,,,,,
,23232,1,25,-231.3398438,111.1796875,,,,,,,,,,
,23232,1,26,-250.6484375,89.71484375,,,,,,,,,,
,23232,1,27,-269.6289063,52.2578125,,,,,,,,,,
,23232,1,28,-274.015625,28.984375,,,,,,,,,,
,23232,1,29,-271.1171875,-7.51953125,,,,,,,,,,
,23232,1,30,-252.8242188,-44.77734375,,,,,,,,,,
,23232,1,31,-218.9257813,-79.33203125,,,,,,,,,,
,23232,1,32,-155.3828125,-120.0625,,,,,,,,,,
,23232,1,33,-89.328125,-144.8554688,,,,,,,,,,
,23232,1,34,-14.796875,-156.2617188,,,,,,,,,,
,23232,1,35,66.22265625,-158.90625,,,,,,,,,,
,23232,1,36,147.984375,-153.265625,,,,,,,,,,
,23232,1,37,194.1445313,-146.9804688,,,,,,,,,,
,23232,1,38,238.6171875,-136.4960938,,,,,,,,,,
,23232,1,39,258.4375,-128.7773438,,,,,,,,,,
,23232,1,40,264.3320313,-125.6875,,,,,,,,,,
,23232,1,41,268.1015625,-123.3242188,,,,,,,,,,
,23232,1,42,268.8671875,-122.7695313,,,,,,,,,,
,23232,1,43,268.9648438,-122.6757813,,,,,,,,,,
,23232,1,44,269.0585938,-122.578125,,,,,,,,,,
,23232,1,45,269.0664063,-122.5664063,,,,,,,,,,
,23232,1,46,269.0117188,-122.5664063,,,,,,,,,,
,23232,1,47,268.046875,-122.5273438,,,,,,,,,,
,23232,1,48,263.75,-122.3867188,,,,,,,,,,
,23232,1,49,240.7382813,-122.8828125,,,,,,,,,,
,23232,1,50,174.9101563,-124.7929688,,,,,,,,,,
,23232,1,51,24.55859375,-125.1054688,,,,,,,,,,
,23232,1,52,-173.984375,-122.2890625,,,,,,,,,,
,23232,1,53,-305.9179688,-116.4296875,,,,,,,,,,
,23232,1,54,-446.9726563,-104.015625,,,,,,,,,,
,23232,1,55,-546.5429688,-93.36328125,,,,,,,,,,
,23232,1,56,-573.5976563,-90.71484375,,,,,,,,,,
,23232,1,57,-573.5976563,-90.71484375,,,,,,,,,,
,23232,1,58,-573.5976563,-90.71484375,,,,,,,,,,
,23232,1,59,-573.453125,-90.65625,,,,,,,,,,
,23232,1,60,-569.875,-88.96484375,,,,,,,,,,
,23232,1,61,-560.9492188,-85.3046875,,,,,,,,,,
,23232,1,62,-548.53125,-81.359375,,,,,,,,,,
