snippet_id,phase,angle_bias,expect_level,mode,true_shape,resp_shape,conf_level,accuracy,control_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
2,practice,,,,,,,,,,5677667,001,green,blue,
,,0,,,,,,,,,5677667,001,green,blue,
,,,low,,,,,,,,5677667,001,green,blue,
,,,,true,,,,,,,5677667,001,green,blue,
,,,,,dot,,,,,,5677667,001,green,blue,
,,,,,,square,,,,,5677667,001,green,blue,
,,,,,,,1,,,,5677667,001,green,blue,
,,,,,,,,0,,,5677667,001,green,blue,
,,,,,,,,,0.0,,5677667,001,green,blue,
,,,,,,,,,,0.5,5677667,001,green,blue,
8,practice,,,,,,,,,,5677667,001,green,blue,
,,90,,,,,,,,,5677667,001,green,blue,
,,,high,,,,,,,,5677667,001,green,blue,
,,,,true,,,,,,,5677667,001,green,blue,
,,,,,dot,,,,,,5677667,001,green,blue,
,,,,,,square,,,,,5677667,001,green,blue,
,,,,,,,1,,,,5677667,001,green,blue,
,,,,,,,,0,,,5677667,001,green,blue,
,,,,,,,,,0.0,,5677667,001,green,blue,
,,,,,,,,,,0.8,5677667,001,green,blue,
2,practice,,,,,,,,,,5677667,001,green,blue,
,,0,,,,,,,,,5677667,001,green,blue,
,,,low,,,,,,,,5677667,001,green,blue,
,,,,true,,,,,,,5677667,001,green,blue,
,,,,,dot,,,,,,5677667,001,green,blue,
,,,,,,dot,,,,,5677667,001,green,blue,
,,,,,,,3,,,,5677667,001,green,blue,
,,,,,,,,1,,,5677667,001,green,blue,
,,,,,,,,,0.0,,5677667,001,green,blue,
,,,,,,,,,,0.575,5677667,001,green,blue,
0,practice,,,,,,,,,,5677667,001,green,blue,
,,90,,,,,,,,,5677667,001,green,blue,
,,,high,,,,,,,,5677667,001,green,blue,
,,,,true,,,,,,,5677667,001,green,blue,
,,,,,dot,,,,,,5677667,001,green,blue,
,,,,,,dot,,,,,5677667,001,green,blue,
,,,,,,,3,,,,5677667,001,green,blue,
,,,,,,,,1,,,5677667,001,green,blue,
,,,,,,,,,0.0,,5677667,001,green,blue,
,,,,,,,,,,1.0,5677667,001,green,blue,
4,practice,,,,,,,,,,5677667,001,green,blue,
,,90,,,,,,,,,5677667,001,green,blue,
,,,low,,,,,,,,5677667,001,green,blue,
,,,,true,,,,,,,5677667,001,green,blue,
,,,,,dot,,,,,,5677667,001,green,blue,
,,,,,,square,,,,,5677667,001,green,blue,
,,,,,,,1,,,,5677667,001,green,blue,
,,,,,,,,0,,,5677667,001,green,blue,
,,,,,,,,,0.0,,5677667,001,green,blue,
,,,,,,,,,,0.5,5677667,001,green,blue,
4,practice,,,,,,,,,,5677667,001,green,blue,
,,0,,,,,,,,,5677667,001,green,blue,
,,,high,,,,,,,,5677667,001,green,blue,
,,,,true,,,,,,,5677667,001,green,blue,
,,,,,square,,,,,,5677667,001,green,blue,
,,,,,,square,,,,,5677667,001,green,blue,
,,,,,,,1,,,,5677667,001,green,blue,
,,,,,,,,1,,,5677667,001,green,blue,
,,,,,,,,,0.0,,5677667,001,green,blue,
,,,,,,,,,,0.8,5677667,001,green,blue,
1,practice,,,,,,,,,,5677667,001,green,blue,
,,90,,,,,,,,,5677667,001,green,blue,
,,,high,,,,,,,,5677667,001,green,blue,
,,,,true,,,,,,,5677667,001,green,blue,
,,,,,square,,,,,,5677667,001,green,blue,
,,,,,,square,,,,,5677667,001,green,blue,
,,,,,,,1,,,,5677667,001,green,blue,
,,,,,,,,1,,,5677667,001,green,blue,
,,,,,,,,,0.0,,5677667,001,green,blue,
,,,,,,,,,,0.95,5677667,001,green,blue,
4,practice,,,,,,,,,,5677667,001,green,blue,
,,0,,,,,,,,,5677667,001,green,blue,
,,,high,,,,,,,,5677667,001,green,blue,
,,,,true,,,,,,,5677667,001,green,blue,
,,,,,dot,,,,,,5677667,001,green,blue,
,,,,,,dot,,,,,5677667,001,green,blue,
,,,,,,,3,,,,5677667,001,green,blue,
,,,,,,,,1,,,5677667,001,green,blue,
,,,,,,,,,0.0,,5677667,001,green,blue,
,,,,,,,,,,0.75,5677667,001,green,blue,
8,practice,,,,,,,,,,5677667,001,green,blue,
,,90,,,,,,,,,5677667,001,green,blue,
,,,low,,,,,,,,5677667,001,green,blue,
,,,,true,,,,,,,5677667,001,green,blue,
,,,,,dot,,,,,,5677667,001,green,blue,
,,,,,,square,,,,,5677667,001,green,blue,
,,,,,,,1,,,,5677667,001,green,blue,
,,,,,,,,0,,,5677667,001,green,blue,
,,,,,,,,,0.0,,5677667,001,green,blue,
,,,,,,,,,,0.575,5677667,001,green,blue,
7,,,,,,,,,,,,,,,
