snippet_id,phase,angle_bias,expect_level,mode,true_shape,resp_shape,conf_level,accuracy,control_rating,prop_used,participant,session,low_precision_colour,high_precision_colour,
8,practice,,,,,,,,,,331,001,blue,green,
,,0,,,,,,,,,331,001,blue,green,
,,,high,,,,,,,,331,001,blue,green,
,,,,true,,,,,,,331,001,blue,green,
,,,,,dot,,,,,,331,001,blue,green,
,,,,,,square,,,,,331,001,blue,green,
,,,,,,,1,,,,331,001,blue,green,
,,,,,,,,0,,,331,001,blue,green,
,,,,,,,,,79.0,,331,001,blue,green,
,,,,,,,,,,0.8,331,001,blue,green,
0,,,,,,,,,,,,,,,
